Country Name,Country Code,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,
Aruba,ABW,92.6139831542969,92.8388214111328,93.086166381836,93.3545455932617,93.3562921509542,93.9423751831055,94.2558135986328,94.5782623291016,94.9067230224609,95.2381820678711,95.5701446533203,,
Afghanistan,AFG,28.2286128997803,33.7486801147461,42.4,44.8548851013184,42.7,43.2220189082037,69.1,67.2595520019531,89.5,71.5,84.1371383666992,,
Angola,AGO,29.1036758422852,37.5,31.2680130004883,32.3824691772461,33.514949798584,34.6,35.821964263916,36.9904899597168,32,42,40.5206069946289,,
Albania,ALB,100,100,100,100,100,100,100,100,100,100,100,,
Andorra,AND,100,100,100,100,100,100,100,100,100,100,100,,
Arab World,ARB,85.8002961272357,84.7357232408233,85.4328268149662,85.1898151220048,86.1361336464124,86.782683284186,87.2882439402148,88.3897051476481,88.0767741380158,88.5179673938546,88.7686540243445,,
United Arab Emirates,ARE,100,100,100,100,100,100,100,100,100,100,100,,
Argentina,ARG,97.1672210693359,97.5394134521484,97.9341278076172,98.3633651733398,98.82,99.2161636352539,99.5844116210938,99.8371276855469,99.9592437744141,99.9952087402344,100,,
Armenia,ARM,99.2657318115234,99.3310394287109,99.4156494140625,99.5198135375976,99.8,99.7671508789062,99.8788757324219,99.9540557861328,99.9889755249023,100,100,,
American Samoa,ASM,,,,,,,,,,,,,
Antigua and Barbuda,ATG,92.4344024658203,92.8556442260742,93.2994079589844,93.7641983032227,94.2470092773438,94.5520140336941,95.2546920776367,95.773551940918,96.2984161376953,96.8262939453125,97.3546676635742,,
Australia,AUS,100,100,100,100,100,100,100,100,100,100,100,,
Austria,AUT,100,100,100,100,100,100,100,100,100,100,100,,
Azerbaijan,AZE,99.5,99.562141418457,99.7418060302734,99.8847351074219,99.9656753540039,99.9,99.9997100830078,100,100,100,100,,
Burundi,BDI,4.58806562423706,4.81732225418091,4.8,5.3419041633606,5.3,5.93858003616333,6.5,6.58331918716431,7,7.25208950042725,7.58847713470459,,
Belgium,BEL,100,100,100,100,100,100,100,100,100,100,100,,
Benin,BEN,27.9,29.3367118835449,30.6212387084961,31.9267921447754,34.2,36.9,38.4,37.2992057800293,34.1,40.0334777832031,41.4026145935059,,
Burkina Faso,BFA,12.5818758010864,13.1693744659424,13.7793941497803,14.4104413986206,13.1,15.7236022949219,16.3997077941895,17.0848274230957,19.2,18.4700813293457,19.1647129058838,,
Bangladesh,BGD,50.5251024590164,46.5,51.2497749328613,53.6328544616699,55.26,59.6,60.8782157897949,61.5,62.4,68.2046813964844,75.92,,
Bulgaria,BGR,100,100,100,100,100,100,100,100,100,100,100,,
Bahrain,BHR,100,100,100,100,100,100,100,100,100,100,100,,
"Bahamas, The",BHS,97.900764465332,98.3253021240234,98.7536849975586,99.1822662353516,99.5609893798828,99.8256530761719,99.9557952880859,99.9947357177734,100,100,100,,
Bosnia and Herzegovina,BIH,99.3872769868445,99.7,99.5800399780273,99.7254028320313,99.8557586669922,99.7057805469021,99.9866180419922,99.9984893798828,100,100,100,,
Belarus,BLR,100,100,100,100,100,100,100,100,100,100,100,,
Belize,BLZ,90.9885308574549,90.4782562255859,90.6150207519531,90.7728118896484,89.9172243747798,91.6817359855335,91.3423233032227,91.5541839599609,91.7720565795898,91.8,92.2143173217773,,
Bermuda,BMU,100,100,100,100,100,100,100,100,100,100,100,,
Bolivia,BOL,76.211281,80.156567,84.674991,86.765597,84.2948150634766,88.335943,90.387375,89.505686,90.038729,91.522822,93.0391311645508,,
Brazil,BRA,97.594314,98.125382,98.526625,98.856938,98.883056640625,99.328691,99.519494,99.575151,99.650247,99.710902,100,,
Barbados,BRB,100,100,100,100,100,100,100,100,100,100,100,,
Brunei Darussalam,BRN,100,100,100,100,100,100,100,100,100,100,100,,
Bhutan,BTN,61.1817893981934,71.8,70.0135040283203,74.4616470336914,73.2829108748978,83.4089965820313,91.5,92.4044189453125,96.9126434326172,98.4235229492188,100,,
Botswana,BWA,39.4554214477539,41.5079345703125,43.1,45.679027557373,47.7931137084961,53.24,52.0633392333984,54.2134704589844,56.3696098327637,58.528751373291,60.6883964538574,,
Central African Republic,CAF,7.80516932525804,8.83524990081787,9.35132789611816,9.8884334564209,9.8,11.013710975647,11.5958757400513,12.1870517730713,12.7842359542847,13.3844232559204,13.9851121902466,,
Canada,CAN,100,100,100,100,100,100,100,100,100,100,100,,
Central Europe and the Baltics,CEB,100,100,100,100,100,100,100,100,100,100,100,,
Switzerland,CHE,100,100,100,100,100,100,100,100,100,100,100,,
Channel Islands,CHI,100,100,100,100,100,100,100,100,100,100,100,,
Chile,CHL,99.368108,98.5563507080078,98.8176727294922,99.593662,99.3886413574219,99.588193,99.8582229614258,99.6,99.9953384399414,99.714844,100,,
China,CHN,98.0668106079102,98.3987045288086,98.7499160766602,99.1156463623047,99.7,99.7487258911133,99.9163818359375,99.9831161499023,99.9984893798828,100,100,,
Cote d'Ivoire,CIV,53.745677947998,54.7862396240234,55.8373031616211,56.8971138000488,57.9639282226563,59.0359878540039,55.8,61.1888618469238,61.9,64.0861968994141,64.3,,
Cameroon,CMR,49,48.2,50.5691757202148,51.7152557373047,52.8793601989746,53.7,55.249626159668,56.4497795104981,56.8,58.8651008605957,60.0747680664063,,
"Congo, Dem. Rep.",COD,10.2286949157715,15.2,11.4933834075928,12.1580152511597,12.8406705856323,13.5383453369141,15.4,14.9667387008667,13.5,16.4191646575928,17.1473789215088,,
"Congo, Rep.",COG,33.4082412719727,35.653247833252,37.9207763671875,37.1,42.5159149169922,44.8375129699707,41.6,49.5137557983399,51.8623924255371,60.4,56.5661697387695,,
Colombia,COL,95.4662399291992,95.7492752075195,96.806763,96.057229,96.788995,96.6936,97.032176,97.779418,97.790938,98.186898,99.0044555664063,,
Comoros,COM,53.5727195739746,55.929084777832,58.3079681396484,60.7078819274902,63.1258201599121,65.5587768554688,69.3,70.4577331542969,72.917724609375,75.3807144165039,77.8442153930664,,
Cabo Verde,CPV,69.2982406616211,71.5587921142578,73.8418579101563,76.1459579467773,81.1,80.8052215576172,83.1543807983398,85.5125503540039,87.8767242431641,90.2439041137695,92.6115875244141,,
Costa Rica,CRI,99.147523,99.217998,99.263937,99.409804,98.995734,99.232348,99.503298,99.563517,99.359291,99.409804,100,,
Caribbean small states,CSS,90.0391438733922,91.2655103920585,92.3147550409759,92.3686809732665,93.1145110729125,92.6770951948047,93.6253227955265,94.6722225062593,95.5579227066017,95.568684039554,96.0163093060266,,
Cuba,CUB,98.9797058105469,99.3301849365234,99.6403656005859,99.8573303222656,99.9638977050781,99.9957122802735,100,100,100,100,100,,
Curacao,CUW,100,100,100,100,100,100,100,100,100,100,100,,
Cayman Islands,CYM,100,100,100,100,100,100,100,100,100,100,100,,
Cyprus,CYP,100,100,100,100,100,100,100,100,100,100,100,,
Czech Republic,CZE,100,100,100,100,100,100,100,100,100,100,100,,
Germany,DEU,100,100,100,100,100,100,100,100,100,100,100,,
Djibouti,DJI,55.5,54.2267723083496,53.8990783691406,53.592414855957,53.3037719726563,53.0301475524902,54.6,52.5159454345703,52.269359588623,52.0257759094238,51.7826919555664,,
Dominica,DMA,89.0959625244141,90.5018463134766,90.9,93.3796920776367,94.847152709961,96.3296279907227,97.8241195678711,98.8553009033203,99.5810775756836,99.9029693603516,100,,
Denmark,DNK,100,100,100,100,100,100,100,100,100,100,100,,
Dominican Republic,DOM,90.118148,96.876342,97.576197,97.85776,98.145414,97.898872,97.86705,98.385853,98.470979,98.560364,100,,
Algeria,DZA,98.7744140625,98.7701416015625,99.3,98.8276748657227,98.8849716186523,98.9572982788086,98.7646604654583,99.1349868774414,99.2343444824219,99.3367080688477,99.439567565918,,
East Asia & Pacific (excluding high income),EAP,93.0306399767244,93.1855475741437,93.8527071475534,94.431626758029,94.9973302156393,95.356988817694,95.8116617298069,96.0572422339778,96.218203498419,96.5332378798832,96.5807321938037,,
Early-demographic dividend,EAR,74.011256631407,75.2680574829814,76.5135930066985,78.6823798481922,79.4551036632442,76.4505368689828,82.2644948519834,82.5856405473156,83.5344243529632,86.9726148651367,86.7516274576338,,
East Asia & Pacific,EAS,93.7328627942555,93.8699884021743,94.4692006498542,94.9885619884364,95.4961841918476,95.8182805067777,96.2262975024113,96.4460291796011,96.5897868084325,96.8726586624057,96.9142412144666,,
Europe & Central Asia (excluding high income),ECA,99.4229032819538,99.5490778525063,99.6600562713396,99.7950425045412,99.4929249390073,99.940423449674,99.950379721948,99.9882302510405,99.9901355087253,99.9982315995547,99.9999426436103,,
Europe & Central Asia,ECS,99.7405260975502,99.7976250270035,99.84763432705,99.9081098753389,99.7723890094679,99.973174008644,99.9776246363385,99.9946856145517,99.9955405950803,99.9991994861266,99.9999740023915,,
Ecuador,ECU,96.315259,96.812618,97.206576,96.470862,97.462142,96.872699,97.194929,98.034674,98.976067,98.825883,99.9368133544922,,
"Egypt, Arab Rep.",EGY,99.04,98.8195953369141,99.8,99.3794631958008,99.6496963500977,99.8531723022461,99.7,99.9950942993164,99.8,100,100,,
Euro area,EMU,100,100,100,100,100,100,100,100,100,100,100,,
Eritrea,ERI,35.372486114502,36.4324989318848,37.5150337219238,38.618595123291,39.7401809692383,40.8767852783203,42.0254058837891,43.1830368041992,44.3466758728027,45.5133209228516,46.6804618835449,,
Spain,ESP,100,100,100,100,100,100,100,100,100,100,100,,
Estonia,EST,100,100,100,100,100,100,100,100,100,100,100,,
Ethiopia,ETH,18.576078414917,20.1585006713867,21.7634429931641,23.3894119262695,25.0334053039551,23,28.3634471893311,30.0434875488281,27.2,33.4185905456543,42.9,,
European Union,EUU,100,100,100,100,100,100,100,100,100,100,100,,
Fragile and conflict affected situations,FCS,39.001399920501,40.4378836988608,40.8759348845466,41.4218624451558,41.2059739667048,42.9856267613491,45.1865610687621,46.297452764922,47.597111188204,48.0382826810157,48.9154546681541,,
Finland,FIN,100,100,100,100,100,100,100,100,100,100,100,,
Fiji,FJI,83.7439422607422,88.9,86.16,88.0682907104492,89.5492858886719,91.0453033447266,92.553337097168,91.75,95.5934371948242,97.1194915771484,98.6460494995117,,
France,FRA,100,100,100,100,100,100,100,100,100,100,100,,
Faroe Islands,FRO,100,100,100,100,100,100,100,100,100,100,100,,
"Micronesia, Fed. Sts.",FSM,56.9892425537109,58.763053894043,60.559383392334,62.3767395019531,64.5315202481064,66.0625152587891,67.924934387207,69.7963562011719,71.6737976074219,73.5542297363281,75.435173034668,,
Gabon,GAB,80.8786392211914,81.8595428466797,82.8629608154297,83.8874130249023,84.9298858642578,85.9873809814453,89.3,86.4,89.2199401855469,90.3074722290039,91.3955001831055,,
United Kingdom,GBR,100,100,100,100,100,100,100,100,100,100,100,,
Georgia,GEO,99.0796051025391,99.1549224853516,99.2495574951172,99.3637313842774,99.4956359863281,99.6403350830078,100,99.8984985351563,100,99.9934997558594,100,,
Ghana,GHA,55.0934500757703,58.7923316955566,60.5,62.9389572143555,65.0408096313477,64.06256,69.2865600585938,70.7,78.3,75.7152786254883,79.3,,
Gibraltar,GIB,100,100,100,100,100,100,100,100,100,100,100,,
Guinea,GIN,21.9521045684814,22.8865871429443,23.8435878753662,24.8216171264648,25.8176708221436,26.828742980957,26.2,28.8839321136475,29.9220409393311,30.9631519317627,33.5,,
"Gambia, The",GMB,35.4163360595703,36.5796241760254,37.765438079834,38.9722747802734,40.197135925293,41.4370193481445,42.6889152526856,44.5,45.2167434692383,46.4866638183594,47.7570877075195,,
Guinea-Bissau,GNB,14.5361990950226,9.05204200744629,9.61855220794678,4.7,6,11.4322299957275,12.0648260116577,12.7064342498779,17.2,14.0046701431274,14.6557903289795,,
Equatorial Guinea,GNQ,64.0973358154297,64.4057464599609,64.7366790771484,65.0886383056641,65.4586181640625,66.1,66.2406387329102,66.6466674804688,67.058708190918,67.473747253418,67.889289855957,,
Greece,GRC,100,100,100,100,100,100,100,100,100,100,100,,
Grenada,GRD,87.9810028076172,88.3465576171875,90,89.1437301635742,89.5708541870117,88.8,90.467155456543,90.9303283691406,91.3995056152344,91.8716888427734,92.344367980957,,
Greenland,GRL,100,100,100,100,100,100,100,100,100,100,100,,
Guatemala,GTM,83.730998,80.5791625976563,81.7674865722656,82.9768371582031,84.2042083740235,84.026414,86.7010116577148,87.9644317626953,85.494371,90.5062942504883,91.7792282104492,,
Guam,GUM,100,100,100,100,100,100,100,100,100,100,100,,
Guyana,GUY,73.3825878594249,78.428207397461,79.0181579589844,77.6,80.2581329345703,80.9021530151367,81.5581893920899,82.2232360839844,86.9,83.5683517456055,84.2429046630859,,
High income,HIC,99.8360803826674,99.8408313605212,99.8615964733754,99.8913195423994,99.9027452998076,99.9273068196513,99.9473345778812,99.9502957252381,99.9688156109535,99.9688142637102,99.9767391408547,,
"Hong Kong SAR, China",HKG,100,100,100,100,100,100,100,100,100,100,100,,
Honduras,HND,71.266448,73.548187,76.396899,78.269685,80.984668,82.195298,83.607727,87.184881,88.653773,89.98171,87.5766296386719,,
Heavily indebted poor countries (HIPC),HPC,23.6114759077399,25.4548709621597,26.0140510579109,26.561925632251,27.8891052808372,28.2671331406888,30.9668834414788,31.500563684088,34.054915626515,34.4606830339687,38.5314120525148,,
Croatia,HRV,100,100,100,100,100,100,100,100,100,100,100,,
Haiti,HTI,33.9,34.725154876709,35.1095809936523,35.5150375366211,35.9385185241699,36.3770141601562,37.9,37.2870559692383,37.7525901794434,38.2211265563965,38.6901664733887,,
Hungary,HUN,100,100,100,100,100,100,100,100,100,100,100,,
IBRD only,IBD,88.1871565558243,88.7683286846167,89.5557258858423,90.7645847296761,91.4577854572509,89.1961844652827,92.850228330194,92.9161821077414,93.3457045493066,95.4329045322277,94.5567788678641,,
IDA & IBRD total,IBT,77.8977281342063,78.5445092900617,79.1829935648875,80.3067674904808,80.7031557272069,79.4887046267222,82.5476289219195,82.6988907973478,83.3349247193048,84.9272352316137,85.3151767948825,,
IDA total,IDA,42.9349127651748,44.2542359451527,44.84271147517,46.1288970825648,46.0168883577276,48.5886199568422,50.066751981357,50.896427006711,52.5731048783348,53.0596217061182,57.6431455775038,,
IDA blend,IDB,62.4559416912504,65.1744494861883,64.5151404870772,66.3505092726047,64.3870350613323,68.6553925230426,68.7966616594999,69.7497464585163,71.1758158088057,69.5750644432437,75.5273417081881,,
Indonesia,IDN,90.62,91.1,92.73,93.55,94.15,94.83,96,96.4642583061542,97.01,97.5373674369822,97.62,,
IDA only,IDX,33.3365205620251,33.974737254138,35.1779393488234,36.1920529751912,36.9785388931445,38.7010645732711,40.785570317693,41.5446887436079,43.3364808535231,44.8527469597968,48.7515563474362,,
Isle of Man,IMN,100,100,100,100,100,100,100,100,100,100,100,,
India,IND,67.9,69.9880218505859,71.5473175048828,75,76.3,67.6,79.9,79.5991134643555,81.2395095825195,88,84.5268173217773,,
Not classified,INX,,,,,,,,,,,,,
Ireland,IRL,100,100,100,100,100,100,100,100,100,100,100,,
"Iran, Islamic Rep.",IRN,98.4,98.5798568725586,98.7438735961914,98.9274291992187,99.1287078857422,99.3441925048828,99.5637664794922,99.7617797851563,100,99.9750518798828,100,,
Iraq,IRQ,97.6221115649303,98.1,97.9405975341797,98.2124557495117,98.4866027832031,98,99.3,99.3796005249023,99.6554107666016,99.8621826171875,100,,
Iceland,ISL,100,100,100,100,100,100,100,100,100,100,100,,
Israel,ISR,100,100,100,100,100,100,100,100,100,100,100,,
Italy,ITA,100,100,100,100,100,100,100,100,100,100,100,,
Jamaica,JAM,89.3138961791992,90.1321487426758,92,91.8347244262695,92.7145462036133,91.1,93.1,95.4321212768555,96.35400390625,97.2788848876953,98.2042694091797,,
Jordan,JOR,99.1206359863281,98.8,99.3095474243164,99.4,99.5734558105469,99.7201690673828,99.5,99.9419403076172,99.9855880737305,99.9983215332031,100,,
Japan,JPN,100,100,100,100,100,100,100,100,100,100,100,,
Kazakhstan,KAZ,99.766547651744,99.3341522216797,99.4165649414063,100,99.6371231079102,99.7974683544304,99.8747329711914,99.9516143798828,99.9881439208984,100,100,,
Kenya,KEN,22.8631324768066,24.0489711761475,25.2573299407959,23,19.2,28.9965534210205,30.2709999084473,31.5544567108154,36,41.6,56,,
Kyrgyz Republic,KGZ,99.4641265869141,99.4465408325195,99.4514694213867,99.4774322509765,99,99.5804214477539,99.8,99.7314758300781,99.8,99.9065551757813,99.9961013793945,,
Cambodia,KHM,28.0849475860596,30.1827335357666,26.4,34.4443740844727,31.1,38.7781105041504,40.9645042419434,43.1599082946777,56.1,47.5657386779785,49.7706565856934,,
Kiribati,KIR,64.1909790039063,66.1947250366211,68.2209930419922,64.19,63.1677367075983,74.413932800293,76.5062866210938,78.607650756836,80.7150192260742,90.5581814089579,84.9362716674805,,
St. Kitts and Nevis,KNA,95.7226791381836,96.1982345581055,96.6963119506836,97.2154235839844,97.752555847168,98.3133850097656,98.8642120361328,99.3664779663086,99.7366943359375,99.9300155639648,100,,
"Korea, Rep.",KOR,100,100,100,100,100,100,100,100,100,100,100,,
Kuwait,KWT,100,100,100,100,100,100,100,100,100,100,100,,
Latin America & Caribbean (excluding high income),LAC,93.8664741976286,94.2245908472869,94.9777629801269,95.1967166042496,95.5705438893278,95.9138791675684,96.2682755243315,96.7037368464162,96.6786766905534,96.9512781330594,97.5527169834802,,
Lao PDR,LAO,57.0410587037665,61.9792442321777,66,67.4694671630859,70.2431106567383,70,76.3666277465237,78.6421585083008,81.4578628540039,89.7,87.0957717895508,,
Lebanon,LBN,99.3838170909681,99.9,99.9,99.878303527832,99.9488067626953,99.6840109542869,99.9983062744141,100,100,100,100,,
Liberia,LBR,0.244776546955109,3,1.75265645980835,1.9,5.14613103866577,4.1,8.59968376159668,9.8,9.4,13.8400917053223,19.8,,
Libya,LBY,98.8205642700195,98.7213973999024,98.6447525024414,98.5891265869141,98.5515365600586,98.5289535522461,98.5183944702148,98.516845703125,98.5213012695313,98.5287628173828,98.5367279052735,,
St. Lucia,LCA,92.1459426879883,92.6366577148438,93.1498947143555,93.6841506958008,94.2,94.8037414550781,95.3434225844005,95.9713973999023,96.5657348632813,97.1630783081055,97.7609176635742,,
Latin America & Caribbean,LCN,94.2831205222112,94.6062094310961,95.3088961829547,95.5598626406068,95.9109343836594,96.2609284173251,96.6114704947322,97.0002837134944,97.013168057364,97.2527559213125,97.7975942060493,,
Least developed countries: UN classification,LDC,28.5469483947889,29.4393747707848,30.4533585665239,31.4552510203788,32.5140744195776,34.1550752507672,36.3894741142935,37.0888444700876,38.6731401534791,40.6793909367814,44.7777367015948,,
Low income,LIC,23.7182408338511,25.4932340932455,26.0110600073786,27.137598624132,27.973805954734,28.7906182162628,31.3355896031119,32.0182892266436,33.5050033414568,34.3925841090338,38.8337191295817,,
Liechtenstein,LIE,100,100,100,100,100,100,100,100,100,100,100,,
Sri Lanka,LKA,78.9683074951172,80,82.1732482910156,83.8079986572266,85.3,87.76,88.8083953857422,90.2,92.1920623779297,93.8899002075195,95.5882339477539,,
